game,reviewer_rating,positivity_ratio,first_release_date,binned_developer,genre,themes,modes
Untitled Goose Game,9.0,22.41,2019,2-4 Appearances,Puzzle,Action,
Hurtworld,6.0,3.21,2019,Single Appearance,Shooter,Action,
Only If,5.0,1.69,2014,Single Appearance,Puzzle,Fantasy,
State of Decay,8.0,5.44,2013,Single Appearance,Shooter,Action,
Slime Rancher 2,9.0,20.11,2022,2-4 Appearances,Shooter,Action,
Cruelty Squad,9.0,31.91,2021,Single Appearance,Shooter,Action,
Forager,8.0,9.51,2019,Single Appearance,Puzzle,Action,
Stormworks: Build and Rescue,8.0,11.73,2020,2-4 Appearances,Simulator,Action,
The Long Drive,8.0,10.69,2019,Single Appearance,Simulator,Action,
Miscreated,5.0,1.97,2018,Single Appearance,Shooter,Action,
Viscera Cleanup Detail: Shadow Warrior,8.0,4.08,2013,2-4 Appearances,Simulator,Action,
Universe Sandbox Legacy,8.0,4.27,2011,2-4 Appearances,Simulator,Science fiction,
Next Day: Survival,5.0,1.7,2018,Single Appearance,Shooter,Action,
Data Hacker: Corruption,5.0,0.91,2014,2-4 Appearances,Role-playing (RPG),Science fiction,
Wobbly Life,9.0,31.92,2020,Single Appearance,Role-playing (RPG),Action,
Amazing Frog?,8.0,13.66,2014,Single Appearance,Adventure,Action,
Devolverland Expo,8.0,8.43,2020,Flying Wild Hog,Shooter,Action,
Cosmic Pioneer,5.0,1.03,2017,Amaterasu Software,Simulator,Science fiction,
Undisputed,6.0,3.32,2023,Single Appearance,Fighting,Action,
Escape Simulator,8.0,15.06,2021,Single Appearance,Point-and-click,Mystery,
Robot vs Birds Zombies,4.0,0.45,2015,Single Appearance,Simulator,Action,
IL-2 Sturmovik: Battle of Stalingrad,8.0,4.25,2014,Single Appearance,Simulator,Action,
Survive the Nights,5.0,1.8,2017,Single Appearance,Shooter,Action,
Velvet Sundown,5.0,1.5,2014,Single Appearance,Role-playing (RPG),Comedy,
My Time at Sandrock,8.0,6.94,2022,2-4 Appearances,Role-playing (RPG),Action,
Exanima,8.0,4.62,2015,Single Appearance,Role-playing (RPG),Action,
Hand Simulator: Survival,8.0,6.44,2019,HFM Games,Role-playing (RPG),Action,
Breathedge,8.0,5.13,2018,Single Appearance,Role-playing (RPG),Action,
Zero Caliber VR,6.0,3.6,2018,2-4 Appearances,Simulator,Action,
Fun with Ragdolls: The Game,8.0,7.12,2019,Single Appearance,Simulator,Action,
Sun Haven,8.0,7.28,2021,Single Appearance,Role-playing (RPG),Action,
Intruder,8.0,9.33,2019,2-4 Appearances,Shooter,Action,
Intruder,8.0,9.33,1979,2-4 Appearances,Shooter,Action,
Slingshot people,5.0,0.91,2016,Single Appearance,Simulator,Action,
WWE 2K20,5.0,0.75,2019,Visual Concepts,Simulator,Action,
Interstellar Marines,5.0,1.24,2013,Single Appearance,Shooter,Action,
35MM,6.0,2.49,2016,2-4 Appearances,Shooter,Action,
Mist Survival,6.0,3.96,2018,Single Appearance,Simulator,Action,
WWE 2K18,5.0,1.15,2017,Visual Concepts,Fighting,Action,
Visage,8.0,6.24,2020,Single Appearance,Puzzle,Action,
IL-2 Sturmovik: 1946,8.0,7.97,2006,2-4 Appearances,Shooter,Action,
Dinosaur Hunt,5.0,2.0,2015,Racing Bros,Simulator,Action,
Tank Force,5.0,1.8,2017,2-4 Appearances,Shooter,Action,
Quadrilateral Cowboy,8.0,11.19,2016,2-4 Appearances,Puzzle,Action,
The Solus Project,6.0,3.94,2016,Single Appearance,Simulator,Action,
War Robots VR: The Skirmish,6.0,3.97,2017,2-4 Appearances,Simulator,Action,
Stationeers,8.0,5.19,2017,2-4 Appearances,Simulator,Action,
Late Shift,8.0,6.4,2017,Single Appearance,Simulator,Action,
Starbase,5.0,1.5,2021,Frozenbyte,Simulator,Action,
Night of the Dead,6.0,3.81,2020,Single Appearance,Fighting,Action,
CAT Interstellar,6.0,2.53,2015,2-4 Appearances,Adventure,Science fiction,
Marbles on Stream,8.0,6.59,2018,2-4 Appearances,Racing,Sandbox,
Planet Explorers,5.0,1.67,2016,2-4 Appearances,Role-playing (RPG),Action,
Rake,6.0,2.38,2015,Konsordo,Simulator,Action,
The Ranger: Lost Tribe,6.0,3.93,2017,2-4 Appearances,Role-playing (RPG),Action,
Automobilista 2,8.0,9.67,2020,Single Appearance,Racing,Action,
Fingerbones,6.0,3.72,2014,David Szymanski,Adventure,Horror,
Sparkle 3 Genesis,5.0,1.61,2015,Forever Entertainment S. A.,Role-playing (RPG),Action,
Genesis Online,4.0,0.47,2015,Single Appearance,Role-playing (RPG),Action,
Fishing: Barents Sea,6.0,3.76,2018,Single Appearance,Simulator,Business,
Volcanoids,8.0,5.38,2019,Single Appearance,Simulator,Action,
Minds Eyes,6.0,2.47,2016,Stanislaw Truchowski,Adventure,Action,
Ampu-Tea,5.0,1.67,2013,2-4 Appearances,Role-playing (RPG),Comedy,
Bus Driver,8.0,4.15,2007,SCS Software,Racing,Non-fiction,
Daily Chthonicle: Editor's Edition,6.0,2.89,2016,Single Appearance,Role-playing (RPG),Mystery,
WolfQuest: Anniversary Edition,9.0,35.87,2019,Single Appearance,Role-playing (RPG),Action,
WWE 2K19,6.0,2.87,2018,Visual Concepts,Simulator,Non-fiction,
Ice Lakes,8.0,5.87,2016,2-4 Appearances,Simulator,Action,
Rick and Morty: Virtual Rick-ality,6.0,2.93,2017,Owlchemy Labs,Puzzle,Action,
WWE 2K17,5.0,1.8,2016,Visual Concepts,Simulator,Action,
Paintball War,5.0,0.74,2018,Single Appearance,Simulator,Action,
Hobo: Tough Life,8.0,5.01,2017,Single Appearance,Role-playing (RPG),Action,
Lucius II,5.0,1.58,2015,2-4 Appearances,Simulator,Action,
Battle Royale Trainer,5.0,1.36,2018,Single Appearance,Shooter,Action,
Football Manager 2020 Touch,8.0,6.83,2019,Sports Interactive,Simulator,Non-fiction,
Depth Hunter 2: Deep Dive,6.0,2.86,2014,Single Appearance,Simulator,Action,
The Drone Racing League Simulator,8.0,5.44,2017,Single Appearance,Racing,Action,
Hentai Girl,8.0,12.97,2018,2-4 Appearances,Role-playing (RPG),Erotic,
War Trigger 2,5.0,1.2,2020,Rocketeer Games Studio LLC,Simulator,Action,
War Trigger 2,5.0,1.2,2020,Rocketeer Games Studio LLC,Simulator,Action,
Vacation Simulator,8.0,10.36,2019,Owlchemy Labs,Puzzle,Action,
Monster Loves You!,6.0,3.57,2013,Single Appearance,Puzzle,Action,
Wurm Unlimited,6.0,2.47,2015,2-4 Appearances,Puzzle,Historical,
This Land Is My Land,6.0,2.56,2019,2-4 Appearances,Role-playing (RPG),Action,
Find Out,5.0,1.22,2016,Single Appearance,Simulator,Action,
Modbox,8.0,6.52,2016,Single Appearance,Simulator,Action,
Ship Simulator Extremes,5.0,1.03,2010,Single Appearance,Simulator,Sandbox,
The Infected,8.0,6.57,2020,Single Appearance,Fighting,Action,
Starpoint Gemini,4.0,0.48,2012,2-4 Appearances,Role-playing (RPG),Fantasy,
Zelter,5.0,1.2,2020,2-4 Appearances,Role-playing (RPG),Action,
Sakuna: Of Rice and Ruin,8.0,12.87,2020,2-4 Appearances,Platform,Action,
Exo One,8.0,9.59,2021,Single Appearance,Simulator,Science fiction,
Strike Vector,5.0,2.09,2014,2-4 Appearances,Shooter,Action,
The Cubicle.,8.0,6.94,2016,Single Appearance,Simulator,Action,
The Mortuary Assistant,8.0,11.06,2022,DarkStone Digital,Puzzle,Horror,
Our End of the World,6.0,3.98,2018,Single Appearance,Simulator,Horror,
Mr.President!,8.0,4.05,2016,Single Appearance,Simulator,Action,
Heat,5.0,0.98,2019,Single Appearance,Role-playing (RPG),Action,
Contraband Police,8.0,15.3,2023,2-4 Appearances,Shooter,Action,
West Sweety,8.0,5.86,2019,2-4 Appearances,Role-playing (RPG),Erotic,
Heavenly Bodies,9.0,24.55,2021,Single Appearance,Simulator,Action,
Riding Club Championships,6.0,2.91,2016,2-4 Appearances,Racing,Action,
Prison Simulator,8.0,6.94,2021,Single Appearance,Fighting,Action,
AquaNox,6.0,2.45,2001,2-4 Appearances,Shooter,Action,
IL-2 Sturmovik: Cliffs of Dover,5.0,1.99,2011,2-4 Appearances,Simulator,Historical,
Dream Date,8.0,6.12,2020,2-4 Appearances,Adventure,Erotic,
Cyberia,7.0,32.0,1994,Xatrix Entertainment,Shooter,Action,
The Lords of the Earth Flame,5.0,2.16,2016,Single Appearance,Role-playing (RPG),Action,
Incline,5.0,1.03,2017,Single Appearance,Racing,Action,
Madness Cubed,6.0,3.13,2016,Single Appearance,Shooter,Action,
Five Dates,8.0,7.38,2020,Single Appearance,Simulator,Comedy,
Gaokao.Love.100Days,8.0,16.92,2015,Single Appearance,Role-playing (RPG),Drama,
Rising Angels: Reborn,8.0,4.07,2014,Single Appearance,Simulator,Science fiction,
Lonely Mountains: Downhill,8.0,11.34,2019,Single Appearance,Racing,Action,
Merchant,6.0,3.69,2014,Single Appearance,Role-playing (RPG),Fantasy,
Tiny Town VR,8.0,11.55,2017,Single Appearance,Simulator,Comedy,
The Average Everyday Adventures of Samantha Browne,8.0,4.42,2016,Single Appearance,Role-playing (RPG),Drama,
Pretty Neko,8.0,13.3,2020,2-4 Appearances,Role-playing (RPG),Fantasy,
Kingsway,8.0,11.71,2017,2-4 Appearances,Role-playing (RPG),Fantasy,
Written in the Sky,6.0,3.52,2015,2-4 Appearances,Simulator,Action,
Need For Drink,6.0,2.93,2017,2-4 Appearances,Simulator,Action,
Placid Plastic Duck Simulator,9.0,63.34,2022,Single Appearance,Music,Comedy,
Just Die Already,8.0,4.26,2021,2-4 Appearances,Platform,Action,
Horse Riding Tales,5.0,1.39,2019,Single Appearance,Racing,Action,
Enforcer: Police Crime Action,5.0,0.9,2014,2-4 Appearances,Simulator,Action,
Bigscreen Beta,8.0,5.94,2016,Single Appearance,Simulator,Action,
New Star Soccer 5,5.0,2.1,2011,Single Appearance,Simulator,Action,
Accounting+,6.0,3.25,2017,2-4 Appearances,Simulator,Action,
Holy Potatoes! A Weapon Shop?!,6.0,2.58,2015,2-4 Appearances,Role-playing (RPG),Fantasy,
Kinetic Void,1.0,0.22,2014,Single Appearance,Simulator,Action,
No Place Like Home,8.0,4.5,2020,Single Appearance,Role-playing (RPG),Action,
Bad Guys at School,8.0,6.68,2020,2-4 Appearances,Simulator,Action,
Explore Fushimi Inari,8.0,17.09,2019,Single Appearance,Simulator,Non-fiction,
Elven Assassin,8.0,5.66,2016,2-4 Appearances,Role-playing (RPG),Action,
Digimon Survive,8.0,4.33,2022,2-4 Appearances,Role-playing (RPG),Fantasy,
Lightblade VR,6.0,3.89,2016,Single Appearance,Simulator,Action,
My Little Blacksmith Shop,6.0,3.33,2017,Single Appearance,Simulator,Fantasy,
The Blackout Club,6.0,3.9,2019,2-4 Appearances,Role-playing (RPG),Action,
Hacker Simulator,6.0,3.23,2021,Single Appearance,Simulator,Action,
Lift It,5.0,1.14,2017,Single Appearance,Simulator,Action,
Air Conflicts: Vietnam,4.0,0.44,2013,Games Farm,Fighting,Action,
Planet Nomads,5.0,1.94,2019,Single Appearance,Role-playing (RPG),Action,
Lunar Flight,8.0,4.28,2012,Single Appearance,Simulator,Science fiction,
House of Evil,4.0,0.61,2017,Single Appearance,Simulator,Action,
Dysterra,5.0,1.54,2022,2-4 Appearances,Shooter,Action,
The Station,8.0,5.94,2018,2-4 Appearances,Puzzle,Science fiction,
AquaNox 2: Revelation,6.0,2.8,2003,2-4 Appearances,Shooter,Action,
Football Manager 2019 Touch,8.0,4.5,2018,Sports Interactive,Simulator,Business,
My Name is Mayo,8.0,5.07,2016,2-4 Appearances,Simulator,Action,
Scoot,8.0,7.59,2020,Single Appearance,Simulator,Action,
Britannic: Patroness of the Mediterranean,8.0,8.71,2020,Single Appearance,Role-playing (RPG),Historical,
Kitty Powers' Matchmaker,9.0,21.0,2014,2-4 Appearances,Simulator,Comedy,
Deadliest Catch: The Game,5.0,1.12,2019,Single Appearance,Simulator,Action,
Crazy Buggy Racing,4.0,0.57,2017,VGstudio,Racing,Action,
Holopoint,8.0,8.63,2016,2-4 Appearances,Shooter,Action,
Model Builder,6.0,3.55,2022,Single Appearance,Simulator,Non-fiction,
Drums Hero PC,5.0,1.92,2017,2-4 Appearances,Simulator,Action,
Wardwell House,8.0,4.68,2020,Single Appearance,Simulator,Horror,
Arid,8.0,6.75,2021,Single Appearance,Simulator,Action,
Out of Reach,5.0,1.37,2015,2-4 Appearances,Role-playing (RPG),Action,
Thief Simulator VR,5.0,2.27,2019,Single Appearance,Simulator,Action,
Relaxation balls,5.0,1.02,2016,Single Appearance,Simulator,Action,
Reload,6.0,3.04,2010,Single Appearance,Shooter,Action,
Star Shelter,6.0,3.59,2017,Overflow,Role-playing (RPG),Action,
Surgeon Simulator: Experience Reality,5.0,1.03,2016,Bossa Studios,Simulator,Action,
Interstellar Rift,6.0,2.44,2015,Single Appearance,Simulator,Action,
Tailor Tales,9.0,20.28,2019,Single Appearance,Simulator,Romance,
Salt,6.0,3.29,2013,2-4 Appearances,Point-and-click,Historical,
Salt,6.0,3.29,2018,2-4 Appearances,Point-and-click,Action,
He Will Shoot,5.0,0.95,2021,Boom Games,Shooter,Action,
Scrutinized,8.0,8.47,2020,2-4 Appearances,Puzzle,Horror,
Lost Crew,7.0,5.57,2016,Single Appearance,Simulator,Action,
Infinitum,5.0,1.34,2017,VGstudio,Simulator,Action,
Richie's Plank Experience,8.0,4.24,2016,Single Appearance,Simulator,Party,
BattleBeasts,4.0,0.24,2021,Single Appearance,Shooter,Action,
Skeet: VR Target Shooting,6.0,3.15,2016,Single Appearance,Simulator,Action,
Paint Warfare,8.0,5.19,2019,Single Appearance,Shooter,Action,
Miner Wars 2081,4.0,0.56,2012,2-4 Appearances,Shooter,Action,
Fugl,8.0,5.15,2017,Single Appearance,Role-playing (RPG),Open world,
Tourist Bus Simulator,5.0,1.97,2018,2-4 Appearances,Racing,Business,
Remains,6.0,3.77,2021,2-4 Appearances,Simulator,Action,
I Was a Teenage Exocolonist,9.0,39.22,2022,Northway Games,Role-playing (RPG),Science fiction,
Museum of Other Realities,8.0,11.83,2020,Single Appearance,Simulator,Sandbox,
iGrow Game,5.0,1.3,2016,Single Appearance,Role-playing (RPG),Business,
Cloud Gardens,9.0,20.41,2020,2-4 Appearances,Puzzle,Sandbox,
Rebel Galaxy Outlaw,5.0,1.76,2020,2-4 Appearances,Shooter,Action,
Salvation Prophecy,5.0,1.9,2013,Single Appearance,Shooter,Action,
Shark Simulator,8.0,6.78,2017,Single Appearance,Simulator,Action,
The Survey,6.0,2.6,2016,Single Appearance,Puzzle,Horror,
Boundless,6.0,2.46,2018,2-4 Appearances,Role-playing (RPG),Action,
Cyber Agent,6.0,2.71,2020,BambuseaeGames,Simulator,Action,
Das Balkonzimmer,5.0,1.5,2020,Single Appearance,Simulator,Educational,
Camp Canyonwood,6.0,2.89,2022,Single Appearance,Simulator,Sandbox,
Tactical Assault VR,8.0,6.37,2023,Single Appearance,Simulator,Action,
Space Merchants: Arena,5.0,2.0,2016,2-4 Appearances,Shooter,Action,
Eterium,5.0,0.92,2014,Single Appearance,Shooter,Action,
Birthdays the Beginning,5.0,1.65,2017,Arc System Works,Simulator,Sandbox,
Signal Simulator,8.0,5.21,2018,Single Appearance,Simulator,Mystery,
Totally Reliable Delivery Service,8.0,4.46,2020,Single Appearance,Racing,Action,
Destiny's Sword,5.0,1.7,2022,Single Appearance,Point-and-click,Science fiction,
Wings! Remastered Edition,6.0,3.6,2014,2-4 Appearances,Shooter,Action,
Football Manager 2021 Touch,8.0,8.03,2020,Sports Interactive,Simulator,Non-fiction,
Innchanted,8.0,5.5,2023,Single Appearance,Role-playing (RPG),Action,
Carnivores: Dinosaur Hunter Reborn,6.0,2.72,2015,Single Appearance,Simulator,Survival,
Investigator,5.0,2.28,2016,2-4 Appearances,Simulator,Horror,
Immortal Life,8.0,4.38,2022,Single Appearance,Role-playing (RPG),Action,
The Walking Dead Onslaught,5.0,0.78,2020,Survios,Shooter,Action,
All Aspect Warfare,4.0,0.27,2009,2-4 Appearances,Shooter,Action,
The Sapling,8.0,8.16,2019,Single Appearance,Simulator,Sandbox,
Storm Chasers,8.0,6.04,2019,2-4 Appearances,Simulator,Action,
Magical Otoge Ciel,8.0,11.11,2016,Single Appearance,Simulator,Fantasy,
Knights of Pen and Paper 2: Free Edition,5.0,1.87,2015,2-4 Appearances,Role-playing (RPG),Action,
Jet Island,9.0,22.69,2018,2-4 Appearances,Racing,Action,
Wrestling Empire,8.0,18.18,2021,2-4 Appearances,Fighting,Action,
VR The Diner Duo,8.0,21.11,2016,Single Appearance,Simulator,Business,
Initial Drift Online,6.0,3.19,2020,RewindApp,Racing,Action,
Dyscourse,6.0,3.45,2015,Owlchemy Labs,Simulator,Survival,
Last Message,8.0,6.95,2021,Single Appearance,Adventure,Action,
Sopwith VR,8.0,6.13,2018,Single Appearance,Shooter,Action,
Zigfrak,6.0,2.6,2013,Single Appearance,Role-playing (RPG),Action,
A.I.M.2 Clan Wars,6.0,3.65,2007,2-4 Appearances,Racing,Action,
Wild West Dynasty,4.0,0.45,2023,Single Appearance,Role-playing (RPG),Action,
One Night Stand,8.0,8.2,2016,Single Appearance,Point-and-click,Drama,
Magical Diary: Horse Hall,8.0,8.97,2012,2-4 Appearances,Role-playing (RPG),Fantasy,
Woodcutter Simulator 2013,4.0,0.36,2013,United Independent Entertainment,Simulator,Open world,
Escape First,5.0,1.96,2018,2-4 Appearances,Puzzle,Mystery,
Beach Invasion 1944,8.0,5.74,2022,Single Appearance,Shooter,Action,
Gay World,8.0,4.8,2018,Nikita &quot;Ghost_RUS&quot;,Simulator,Erotic,
WW2 Rebuilder,8.0,7.4,2023,Single Appearance,Simulator,Action,
18 Wheels of Steel: American Long Haul,6.0,2.53,2007,SCS Software,Racing,Business,
Astrox Imperium,8.0,9.75,2019,2-4 Appearances,Role-playing (RPG),Action,
Wolfpack,8.0,10.02,1990,Single Appearance,Simulator,Historical,
Sankaku Renai: Love Triangle Trouble,8.0,17.75,2019,Single Appearance,Visual Novel,Romance,
Farmer's Life,8.0,5.09,2021,2-4 Appearances,Role-playing (RPG),Action,
Drunken Wrestlers,8.0,12.68,2013,2-4 Appearances,Simulator,Action,
Stream Racer,8.0,5.02,2020,Single Appearance,Racing,Comedy,
Stayin' Alive,6.0,2.71,2018,2-4 Appearances,Strategy,Action,
Air Guardians,5.0,0.77,2015,Single Appearance,Simulator,Action,
Die Young,8.0,4.01,2019,2-4 Appearances,Simulator,Action,
Police Shootout,5.0,1.5,2022,2-4 Appearances,Fighting,Action,
Comanche 4,8.0,8.58,2001,NovaLogic,Shooter,Action,
Contagion VR: Outbreak,5.0,1.81,2019,2-4 Appearances,Shooter,Action,
My Garage,8.0,10.32,2021,Single Appearance,Racing,Sandbox,
Star Explorers,8.0,4.19,2017,2-4 Appearances,Role-playing (RPG),Action,
Tiny Combat Arena,8.0,8.28,2022,Single Appearance,Simulator,Action,
Bunny Park,8.0,10.43,2020,2-4 Appearances,Simulator,Kids,
Deadstep,6.0,2.42,2018,Single Appearance,Strategy,Action,
Tomato Jones 2,6.0,3.26,2017,2-4 Appearances,Platform,Action,
Girl Amazon Survival,5.0,0.75,2016,2-4 Appearances,Simulator,Action,
The Bellows,8.0,5.94,2016,Single Appearance,Simulator,Action,
Capybara Spa,9.0,34.55,2022,2-4 Appearances,Point-and-click,Sandbox,
Professional Farmer: Cattle and Crops,5.0,2.17,2020,Single Appearance,Simulator,Business,
Forklift Load,8.0,5.05,2020,2-4 Appearances,Platform,Science fiction,
Panzer Knights,8.0,4.56,2021,Single Appearance,Shooter,Action,
Tachyon: The Fringe,8.0,8.8,2000,NovaLogic,Shooter,Action,
Pure Pool,5.0,1.33,2014,2-4 Appearances,Simulator,Non-fiction,
Evochron Mercenary,6.0,3.51,2012,Single Appearance,Simulator,Action,
Princess Maker Refine,5.0,1.8,2003,CFK Co. Ltd.,Simulator,Fantasy,
Garbage Day,4.0,0.51,2016,Single Appearance,Shooter,Action,
Animal Super Squad,8.0,4.33,2018,2-4 Appearances,Platform,Action,
Outpost Zero,5.0,1.01,2019,Single Appearance,Simulator,Action,
Eurofighter Typhoon,4.0,0.3,2014,Rage Software,Simulator,Action,
Hold Your Own,5.0,2.19,2017,Single Appearance,Simulator,Action,
Cart Racer,6.0,3.46,2017,HFM Games,Racing,Action,
Lemon Cake,8.0,8.53,2021,2-4 Appearances,Role-playing (RPG),Business,
The IOTA Project,6.0,2.74,2017,2-4 Appearances,Simulator,Action,
GunFleet,5.0,1.44,2017,Single Appearance,Simulator,Action,
KeepUp Survival,5.0,2.27,2021,Single Appearance,Role-playing (RPG),Action,
FreeFly Burning,5.0,0.73,2017,Single Appearance,Simulator,Action,
Sakura Sadist,8.0,5.34,2018,Winged Cloud,Simulator,Erotic,
Sailwind,8.0,10.98,2021,Single Appearance,Simulator,Survival,
Vox Machinae,8.0,8.28,2018,2-4 Appearances,Shooter,Action,
Dirty Harry's Thunder Drive,6.0,3.4,2020,Single Appearance,Racing,Action,
Obsideo,6.0,2.73,2021,Single Appearance,Strategy,Action,
Killbot,4.0,0.58,2016,2-4 Appearances,Shooter,Action,
Fair Strike,6.0,3.16,2015,2-4 Appearances,Simulator,Action,
Root Of Evil: The Tailor,8.0,5.57,2016,2-4 Appearances,Simulator,Action,
Fly Simulator,5.0,1.88,2017,HFM Games,Simulator,Action,
Probably Archery,5.0,0.82,2014,2-4 Appearances,Shooter,Action,
Freespace 2,6.0,3.48,1999,Single Appearance,Simulator,Action,
Road to Eden,5.0,2.04,2019,Single Appearance,Shooter,Action,
P-Walker's Simulation,5.0,0.84,2017,Single Appearance,Racing,Action,
The Infectious Madness of Doctor Dekker,8.0,5.45,2017,2-4 Appearances,Point-and-click,Horror,
Sakura Succubus 3,8.0,6.96,2020,Winged Cloud,Adventure,Fantasy,
Sakura Succubus,8.0,5.03,2020,Winged Cloud,Simulator,Fantasy,
Train of Afterlife,5.0,1.03,2015,2-4 Appearances,Simulator,Horror,
Warehouse and Logistics Simulator,4.0,0.59,2014,Single Appearance,Simulator,Survival,
Luxuria Superbia,6.0,2.33,2013,2-4 Appearances,Music,Action,
Astrox: Hostile Space Excavation,8.0,5.19,2015,2-4 Appearances,Simulator,Science fiction,
Spermination,8.0,5.98,2015,2-4 Appearances,Racing,Action,
Construction Machines 2014,2.0,0.12,2014,Single Appearance,Simulator,Business,
Tycoon City: New York,4.0,0.66,2006,Single Appearance,Simulator,Business,
Hand Simulator: Horror,6.0,2.59,2020,HFM Games,Simulator,Action,
My Koi,8.0,13.51,2016,Single Appearance,Simulator,Kids,
Echelon,5.0,0.83,2001,2-4 Appearances,Simulator,Action,
Echelon,5.0,0.83,1998,2-4 Appearances,Real Time Strategy (RTS),Science fiction,
Echelon,5.0,0.83,1987,2-4 Appearances,Puzzle,Action,
Fart Simulator 2018,8.0,10.67,2017,Single Appearance,Simulator,Action,
Gym Simulator,4.0,0.66,2018,Single Appearance,Role-playing (RPG),Action,
Paranormal,5.0,1.38,2012,Single Appearance,Simulator,Action,
9-nine-:Episode 1,8.0,17.79,2017,2-4 Appearances,Simulator,Fantasy,
DrillsVR,5.0,1.06,2018,Single Appearance,Simulator,Action,
Yore VR,5.0,0.73,2016,Single Appearance,Role-playing (RPG),Action,
Quantum Rush Champions,5.0,1.31,2014,2-4 Appearances,Racing,Action,
Chasing Dead,5.0,1.62,2016,Single Appearance,Shooter,Action,
The Graveyard,5.0,1.53,2008,2-4 Appearances,Simulator,Drama,
Bear Simulator,8.0,6.19,2016,Single Appearance,Simulator,Action,
Playcraft,8.0,4.16,2019,Single Appearance,Simulator,Action,
Surgeon Simulator 2,5.0,2.31,2020,Bossa Studios,Puzzle,Action,
Wiggly Boy,7.0,22.5,2020,Single Appearance,Simulator,Comedy,
Last Wood,5.0,2.22,2019,Single Appearance,Role-playing (RPG),Survival,
September 7th,8.0,6.25,2023,2-4 Appearances,Simulator,Horror,
CyberTaxi,6.0,2.39,2020,Single Appearance,Racing,Action,
Sakura Hime,8.0,12.76,2021,2-4 Appearances,Puzzle,Erotic,
NeuraGun,8.0,4.27,2022,Whale Rock Games,Puzzle,Science fiction,
Dubstep Abasralsa,5.0,1.63,2018,Single Appearance,Racing,Action,
LifeZ - Survival,6.0,2.38,2018,Single Appearance,Role-playing (RPG),Action,
XOXO Droplets,6.0,2.86,2017,GB Patch Games,Simulator,Romance,
Maximum Override,5.0,2.06,2017,Alientrap,Simulator,Action,
Countrified,5.0,1.13,2020,Single Appearance,Role-playing (RPG),Action,
Reptiles: In Hunt,5.0,2.0,2021,2-4 Appearances,Shooter,Action,
Rain on Your Parade,9.0,43.36,2021,2-4 Appearances,Fighting,Action,
Starship EVO,8.0,5.57,2020,Single Appearance,Simulator,Science fiction,
Blooming Nightshade,8.0,5.93,2019,Single Appearance,Simulator,Romance,
Orion: A Sci-Fi Visual Novel,5.0,1.19,2015,Single Appearance,Simulator,Science fiction,
Drunken Fight Simulator,6.0,2.47,2017,Volens Nolens Games,Fighting,Action,
Burger Shop 2,8.0,36.14,2009,2-4 Appearances,Simulator,Action,
Zooicide,5.0,1.96,2017,Single Appearance,Simulator,Action,
A Day Without Me,8.0,6.5,2020,2-4 Appearances,Puzzle,Action,
Prehistoric Hunt,6.0,3.8,2020,Single Appearance,Shooter,Action,
VR Triber,4.0,0.44,2017,Single Appearance,Racing,Action,
Disinfection,6.0,2.67,2022,Single Appearance,Simulator,Action,
Hardwar,7.0,5.67,1998,Single Appearance,Simulator,Action,
Dr. Frank's Build a Boyfriend,8.0,7.19,2018,Single Appearance,Point-and-click,Romance,
The Desert's Rose,5.0,0.57,2018,Single Appearance,Simulator,Action,
Ice Caves of Europa,5.0,0.83,2018,Single Appearance,Simulator,Action,
Moondust: Knuckles Tech Demos,8.0,18.67,2018,2-4 Appearances,Arcade,Sandbox,
Blast the Past,8.0,6.21,2018,Single Appearance,Simulator,Action,
Sea of Craft,6.0,3.04,2022,Single Appearance,Simulator,Action,
Onset,6.0,3.0,2019,Single Appearance,Role-playing (RPG),Action,
Together,6.0,2.62,2013,Single Appearance,Puzzle,Fantasy,
Asphyxia,6.0,3.1,2015,ebi-hime,Simulator,Drama,
Bus World,6.0,3.17,2022,Single Appearance,Racing,Sandbox,
H-Rescue,6.0,3.43,2019,Single Appearance,Puzzle,Erotic,
DooM in the Dark 2,4.0,0.4,2019,indie_games_studio,Simulator,Action,
It follows you,5.0,0.82,2022,Boom Games,Simulator,Action,
Ahlman Arcade 2018,5.0,1.82,2018,Single Appearance,Racing,Action,
Pro Cycling Manager 2014,5.0,1.97,2014,Cyanide Studio,Simulator,Business,
Among the Heavens,8.0,5.26,2015,Jetdogs Studios,Puzzle,Kids,
Jetborne Racing,8.0,9.12,2021,Single Appearance,Racing,Action,
Open Country,4.0,0.59,2021,Single Appearance,Simulator,Action,
Identity,1.0,0.21,0,2-4 Appearances,Indie,Fantasy,
Identity,1.0,0.21,0,2-4 Appearances,Role-playing (RPG),Non-fiction,
Blue Rose Reprise,5.0,1.65,2015,Single Appearance,Simulator,Romance,
MadOut Open City,4.0,0.59,2016,Single Appearance,Racing,Action,
Stars End,5.0,2.04,2018,2-4 Appearances,Simulator,Action,
Stargaze,6.0,3.0,2020,Single Appearance,Puzzle,Mystery,
Timewell: Trail of Celestes,7.0,4.75,2022,Single Appearance,Shooter,Action,
The Alpha Device,5.0,1.62,2018,2-4 Appearances,Simulator,Action,
Jumpdrive,4.0,0.65,2014,Single Appearance,Simulator,Action,
Wander No More,8.0,5.42,2016,Zetsubou,Simulator,Fantasy,
Boyfriend Dungeon,8.0,11.31,2021,2-4 Appearances,Role-playing (RPG),Action,
